,0,1,2,3,4,5,6,7,8,9,10,11
33,cds-WP_021441401.1,cds-WP_002919667.1,cds-WP_002911479.1,cds-WP_002918738.1,cds-WP_013815099.1-81,cds-WP_013815099.1-15,cds-WP_013815099.1-4,cds-WP_000829818.1,cds-WP_002884034.1,cds-WP_002918379.1,cds-WP_013815099.1-34,cds-WP_004192681.1
34,cds-WP_002894954.1,cds-WP_004214006.1,cds-WP_002910405.1,cds-WP_002919766.1,cds-WP_013815099.1-27,cds-WP_013815099.1-4,cds-WP_013815099.1-34,cds-WP_002920113.1,cds-WP_002885424.1,cds-AF52_RS0124535,cds-WP_013815099.1-66,cds-WP_004150295.1
35,cds-WP_004148802.1,cds-WP_000617546.1,cds-WP_004213494.1,cds-WP_002887979.1,cds-WP_013815099.1-50,cds-WP_013815099.1-77,cds-WP_013815099.1-6,cds-WP_002919545.1,cds-WP_002919224.1,cds-WP_032430034.1,cds-WP_032430142.1,cds-WP_004151550.1
36,cds-WP_032429669.1,cds-WP_002915213.1,cds-WP_002913162.1,cds-WP_023285394.1,cds-WP_013815099.1-30,cds-WP_013815099.1-37,cds-WP_013815099.1-44,cds-WP_002898162.1,cds-WP_004144997.1,cds-WP_004150214.1,cds-WP_013815099.1-19,cds-WP_002911440.1
37,cds-WP_002919667.1,cds-WP_004144997.1,cds-WP_004143800.1,cds-WP_002919794.1,cds-WP_013815099.1-13,cds-WP_013815099.1-39,cds-WP_013815099.1-9,cds-WP_016529833.1,cds-WP_004140835.1,cds-AF52_RS0124460,cds-WP_013815099.1-29,cds-WP_002922415.1
38,cds-WP_002884726.1,cds-WP_000729185.1,cds-WP_032424651.1,cds-WP_032430148.1,cds-WP_013815099.1-3,cds-WP_013815099.1-40,cds-WP_013815099.1-12,cds-WP_004140277.1,cds-WP_002887897.1,cds-WP_002918467.1,cds-WP_013815099.1-37,cds-WP_004148754.1
39,cds-WP_004150944.1,cds-WP_004893549.1,cds-WP_004893549.1,cds-WP_002921434.1,cds-WP_013815099.1-7,cds-WP_013815099.1-60,cds-WP_013815099.1-24,cds-WP_001207203.1,cds-WP_002886947.1,cds-WP_000358960.1,cds-WP_013815099.1-11,cds-WP_004147581.1
40,cds-WP_002913162.1,cds-WP_032428466.1,cds-WP_002919219.1,cds-WP_002919515.1,cds-WP_013815099.1-49,cds-WP_013815099.1-47,cds-WP_013815099.1-37,cds-WP_004185139.1,cds-WP_000124850.1,cds-WP_050484274.1,cds-WP_013815099.1-9,cds-WP_004141917.1
41,cds-WP_002919754.1,cds-WP_004175074.1,cds-WP_032430277.1,cds-WP_004175465.1,cds-WP_013815099.1-36,cds-WP_013815099.1-42,cds-AF52_RS27245,cds-WP_002883222.1,cds-WP_002914145.1,cds-WP_020801619.1,cds-WP_013815099.1-30,cds-WP_004151228.1
42,cds-WP_004144995.1,cds-WP_002919773.1,cds-WP_002913019.1,cds-WP_002895047.1,cds-WP_013815099.1-34,cds-WP_013815099.1-35,cds-WP_013815099.1-5,cds-WP_002898303.1,cds-WP_002919219.1,cds-WP_002885691.1,cds-WP_013815099.1-20,cds-WP_004174800.1
43,cds-WP_002919766.1,cds-WP_004150977.1,cds-WP_021441205.1,cds-WP_002884142.1,cds-WP_013815099.1-24,cds-WP_013815099.1-16,cds-AF52_RS26980,cds-WP_002912990.1,cds-WP_002913195.1,cds-WP_032430089.1,cds-WP_013815099.1-68,cds-WP_032430277.1
44,cds-WP_020802294.1,cds-WP_002891635.1,cds-WP_004151350.1,cds-WP_004142808.1,cds-WP_013815099.1-44,cds-AF52_RS22870,cds-WP_013815099.1-61,cds-WP_002901783.1,cds-WP_002913196.1,cds-WP_032430211.1,cds-WP_013815099.1-50,cds-AF52_RS0123225
45,cds-WP_002884740.1,cds-WP_002909055.1,cds-WP_002888056.1,cds-WP_002884740.1,cds-WP_013815099.1-54,cds-WP_013815099.1-22,cds-WP_013815099.1-39,cds-WP_002919515.1,cds-WP_004151554.1,cds-AF52_RS09835,cds-WP_013815099.1-74,cds-WP_002915213.1
